TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
 277 startMotion  C15        6   60    5
 278 endMotion    C12        9   84    4
 279 startMotion  C12        9   84    4
 279 endMotion    A13       11  120    6
 279 endMotion    A10        9   63    3
 279 endMotion     A8        7  121    1
 279 endMotion     A9        8  122    2
 280 startMotion   A9        8  122    2
 280 startMotion   A8        7  121    1
 280 startMotion  A10        9   63    3
 280 startMotion  A13       11  120    6
 281 endMotion    C14        6   60    5
 282 startMotion  C14        6   60    5
 283 endMotion    C11        9   84    4
 284 endMotion     A9        9   63    3
 284 endMotion     A7        7  121    1
 284 endMotion    A12       11  120    6
 284 endMotion     A8        8  122    2
 284 startMotion  C11        9   84    4
 285 startMotion   A9        9   63    3
 285 startMotion  A12       11  120    6
 285 startMotion   A7        7  121    1
 285 startMotion   A8        8  122    2
 286 endMotion    C13        6   60    5
 287 startMotion  C13        6   60    5
 288 endMotion    C10        9   84    4
 289 endMotion    A11       11  120    6
 289 endMotion     A7        8  122    2
 289 endMotion     A6        7  121    1
 289 endMotion     A8        9   63    3
 289 startMotion  C10        9   84    4
 290 startMotion  A11       11  120    6
 290 startMotion   A6        7  121    1
 290 startMotion   A8        9   63    3
 290 startMotion   A7        8  122    2
 291 endMotion    C12        6   60    5
 292 startMotion  C12        6   60    5
 293 endMotion     C9        9   84    4
 294 endMotion     A7        9   63    3
 294 endMotion    A10       11  120    6
 294 endMotion     A5        7  121    1
 294 startMotion   C9        9   84    4
 294 endMotion     A6        8  122    2
 295 startMotion   A6        8  122    2
 295 startMotion   A5        7  121    1
 295 startMotion   A7        9   63    3
 295 startMotion  A10       11  120    6
 296 endMotion    C11        6   60    5
 297 startMotion  C11        6   60    5
 298 endMotion     C8        9   84    4
 299 startMotion   C8        9   84    4
 299 endMotion     A4        7  121    1
 299 endMotion     A5        8  122    2
 299 endMotion     A6        9   63    3
 299 endMotion     A9       11  120    6
 300 startMotion   A9       11  120    6
 300 startMotion   A4        7  121    1
 300 startMotion   A6        9   63    3
 300 startMotion   A5        8  122    2
 301 endMotion    C10        6   60    5
 302 startMotion  C10        6   60    5
 304 endMotion     A3        7  121    1
 304 endMotion     A5        9   63    3
 304 endMotion     A4        8  122    2
 304 endMotion     A8       11  120    6
 305 startMotion   A8       11  120    6
 305 startMotion   A4        8  122    2
 305 startMotion   A3        7  121    1
 305 startMotion   A5        9   63    3
 305 movebox2channel        -1   84    4
 305 endMotion     C7       -1   84    4
 306 startMotion   C7       -1   84    4
 308 movebox2channel        -1   60    5
 308 endMotion     C9       -1   60    5
 309 endMotion     A4        9   63    3
 309 endMotion     A3        8  122    2
 309 startMotion   C9       -1   60    5
 309 endMotion     A2        7  121    1
 309 endMotion     A7       11  120    6
 310 startMotion   A7       11  120    6
 310 startMotion   A4        9   63    3
 310 endMotion     C6       -1   84    4
 310 startMotion   A2        7  121    1
 310 startMotion   A3        8  122    2
 311 startMotion   C6       -1   84    4
 313 endMotion     C8       -1   60    5
 314 endMotion     A6       11  120    6
 314 startMotion   C8       -1   60    5
